Promotion Name,Promotion Start Date,Promotion End Date,Class,Store,Product Part #,Revenue 30 Days Prior,Avg Daily Revenue Prior 30 Days,Revenue During Promotion,Avg Daily Revenue During Promotion,Revenue Post 30 Days,Avg Daily Revenue Post 30 Days,# of Units Sold 30 Days Prior,Avg Daily Units Sold Prior 30 Days,# of Units Sold During Promotion,Avg Daily Units Sold During Promotion,# of Units Sold Post 30 Days,Avg Daily Units Sold Post 30 Days,Discount Percent,Impressions,Conversion Rate
NA Cyber 13 Extended - November 2025,2025-12-03,2025-12-08,Filing Cabinets,Wayfair US,LFC-2B,-2.38,-0.08,114.21,19.04,109.24,3.64,1,0.03,1,0.17,2,0.07,10,1,0
NA Cyber 13 Extended - November 2025,2025-12-03,2025-12-08,Filing Cabinets,Wayfair US,LFC-3B,0,0,128.21,21.37,498.28,16.61,0,0,1,0.17,4,0.13,10,4,25
NA Cyber 13 Extended - November 2025,2025-12-03,2025-12-08,Filing Cabinets,Wayfair US,LFC-3W,376.21,12.54,131.13,21.86,1279.25,42.64,5,0.17,1,0.17,10,0.33,10,20,5
NA Cyber 13 Extended - November 2025,2025-12-03,2025-12-08,Filing Cabinets,Wayfair US,LFC-4B,-3.48,-0.12,165.44,27.57,2158.12,71.94,1,0.03,1,0.17,14,0.47,10,3,0
NA Cyber 13 Extended - November 2025,2025-12-03,2025-12-08,Filing Cabinets,Wayfair US,MFC-D2-B,180.04,6,186.12,31.02,731.04,24.37,3,0.1,2,0.33,8,0.27,10,6,16.666666666666664
NA Cyber 13 Extended - November 2025,2025-12-03,2025-12-08,Filing Cabinets,Wayfair US,MFC-D2-W,88.03,2.93,93.06,15.51,640.05,21.34,2,0.07,1,0.17,7,0.23,10,1,100
NA Cyber 13 Extended - November 2025,2025-12-03,2025-12-08,Filing Cabinets,Wayfair US,MFC-D3-W,-1.83,-0.06,0,0,88.83,2.96,1,0.03,0,0,1,0.03,10,1,100
NA Cyber 13 Extended - November 2025,2025-12-03,2025-12-08,Filing Cabinets,Wayfair Canada (English),VFC-3W,0,0,101.2,16.87,0,0,0,0,1,0.17,0,0,10,1,100
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Bike And Sport Racks,Wayfair US,2T-Kayak,0,0,78.59,13.1,0,0,0,0,1,0.17,0,0,12,,
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Bike And Sport Racks,Wayfair US,3T-Kayak,186.12,6.2,90.99,15.17,93.06,3.1,2,0.07,1,0.17,1,0.03,12,,
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Bike And Sport Racks,Wayfair US,4T-Kayak,469.81,15.66,115.81,19.3,118.44,3.95,4,0.13,1,0.17,1,0.03,12,,
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Shelving & Racks,Wayfair US,5T-1830-900,0,0,71.11,11.85,0,0,0,0,1,0.17,0,0,12,3,0
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Shelving & Racks,Wayfair US,5T-1980-1200,199.65,6.66,195.15,32.53,101.52,3.38,2,0.07,2,0.33,1,0.03,12,8,12.5
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Shelving & Racks,Wayfair US,5T-dong-183-120,490.68,16.36,294.42,49.07,101.52,3.38,5,0.17,3,0.5,1,0.03,12,18,16.666666666666664
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Shelving & Racks,Wayfair US,6T-2095-122,126.9,4.23,0,0,126.9,4.23,1,0.03,0,0,1,0.03,12,3,0
